macro micro send RVE receive assemble solve total
1 250 0.036176 13.6305 0.0490986 1.51358 2.27913 19.455 
2 500 0.0407724 14.9934 0.051509 1.88451 5.97744 23.7074 
4 1000 0.052378 13.0371 0.0608773 1.7955 10.5293 27.9089 
8 2000 0.0864244 13.2577 0.0963208 1.88545 23.9466 42.1132 
32 8000 0.666034 14.8703 0.680645 1.98392 96.6205 118.967 



