macro micro send RVE receive assemble solve total
2 1000 0.0668656 28.626 0.113081 9.3295 84.0992 132.173
4 1000 0.0548952 28.626 0.0783634 4.69752 46.9218 108.837
8 1000 0.0480896 31.8762 0.0613812 2.1821 30.2455 92.0859
16 1000 0.045458 31.9255 0.0517245 1.14227 21.0675 81.3082

