macro micro send RVE receive assemble solve total
2 30 0.0329269 989.153 0.0777936 9.36299 84.067 1117.95 
2 62 0.0342099 472.316 0.0791904 9.37478 84.0564 591.065 
2 126 0.0356695 229.389 0.0789359 9.37121 84.0471 356.213 
2 254 0.0389293 110.047 0.0819018 9.36677 84.0505 239.477 
2 510 0.0456527 56.4735 0.0919569 9.37965 84.0387 188.35 
2 800 0.0587553 34.5476 0.10171 9.33497 84.1078 138.517 
2 1000 0.0668656 28.626 0.113081 9.3295 84.0992 132.173 
2 1022 0.062967 27.047 0.108197 9.34704 84.0998 145.112 
2 2046 0.0991005 13.9379 0.140129 9.35729 84.0686 116.233 
2 4094 0.196107 7.13271 0.224718 9.37327 84.0534 110.415 
2 8190 0.510475 4.19038 0.510599 9.3616 84.081 104.777 
4 60 0.0297524 484.482 0.0530762 4.70453 46.915 1028.29 
4 124 0.030668 231.974 0.0559141 4.70237 46.8872 502.004 
4 252 0.0325869 110.703 0.0575085 4.70255 46.9223 262.474 
4 508 0.0375113 56.0782 0.0623061 4.70364 46.8872 147.574 
4 800 0.0481681 34.4084 0.0702713 4.7013 46.9073 126.432
4 1000 0.0548952 28.626 0.0783634 4.69752 46.9218 108.837
4 1020 0.0491284 26.9043 0.0732007 4.69928 46.9091 92.7541 
4 2044 0.0767926 13.8749 0.0980532 4.69675 46.893 78.2375 
4 4092 0.154934 7.05859 0.171889 4.69482 46.8966 68.7192 
4 8188 0.420876 4.24279 0.417313 4.69883 46.9142 61.3455 
8 800 0.0422687 38.3896 0.0538609 2.18132 30.2473 102.557 
8 1000 0.0480896 31.8762 0.0613812 2.1821 30.2455 92.0859 
16 800 0.0400878 38.0738 0.0465112 1.14245 21.0611 90.5095 
16 1000 0.045458 31.9255 0.0517245 1.14227 21.0675 81.3082 
32 800 0.0392254 39.48 0.0432523 0.60762 16.3082 89.8351 



